Name,Data,News,Evaluation
IntercontinentalExchange Inc.,02/05/2023,"Bakkt Holdings, Inc.'s (NYSE:BKKT) market cap touched US$342m last week, benefiting both individual investors who own 51% as well as institutions",still open
IntercontinentalExchange Inc.,02/05/2023,Earnings Preview: IntercontinentalExchange (ICE) Q4 Earnings ...,still open
IntercontinentalExchange Inc.,02/05/2023,New York Stock Exchange says manual error triggered major trading glitch,still open
IntercontinentalExchange Inc.,02/05/2023,Cyberattack Sends Derivatives Trading Back to the 1980s,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange launches first carbon-neutral U.S. ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE Announces Plans to Implement EU Market Correction ...,still open
IntercontinentalExchange Inc.,02/05/2023,2023-01-19 | NYSE:ICE | Press Release | Intercontinental Exchange ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Inc. stock underperforms Monday when compared to competitors,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Inc. stock outperforms market despite losses on the day,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (NYSE:ICE) is favoured by institutional owners who hold 88% of the company",still open
IntercontinentalExchange Inc.,02/05/2023,Is Intercontinental Exchange Stock Attractive At The Current Levels?,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange Stock: Great Quality, Attractively Priced ...",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Stock To Post Mixed Results In Q2?,still open
IntercontinentalExchange Inc.,02/05/2023,"Marietta Wealth Management, LLC Buys 3, Sells 2 in 4th Quarter",still open
IntercontinentalExchange Inc.,02/05/2023,Why I'm Bullish On Intercontinental Exchange (NYSE:ICE),still open
IntercontinentalExchange Inc.,02/05/2023,Here's Why You Should Hold Intercontinental (ICE) Stock,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Inc. stock outperforms market on strong trading day,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (ICE) Q3 2022 Earnings Call Transcript",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Kicks Off Six-Part Bond Sale for M&A,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange ADV increases 12% in December,still open
IntercontinentalExchange Inc.,02/05/2023,"NYSE-parent ICE beats profit estimates, takes $1.1 bln writedown",still open
IntercontinentalExchange Inc.,02/05/2023,The Combination of Black Knight and Intercontinental Exchange ...,still open
IntercontinentalExchange Inc.,02/05/2023,Will The Housing Deep Freeze Sink Intercontinental Exchange's ...,still open
IntercontinentalExchange Inc.,02/05/2023,This Company Profited $2.6 Billion From Crypto. What Is It Investing ...,still open
IntercontinentalExchange Inc.,02/05/2023,Nasdaq Vs. Intercontinental Exchange: Better Stock To Buy,still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange and the Tel Aviv Stock Exchange ...,still open
IntercontinentalExchange Inc.,02/05/2023,"ICE: Intercontinental Exchange: Buy, Sell, or Hold?",still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange and Indonesia Stock Exchange Sign ...,still open
IntercontinentalExchange Inc.,02/05/2023,"The Zacks Analyst Blog Highlights Merck, ConocoPhillips, Adobe, Intercontinental Exchange and Monster Beverage",still open
IntercontinentalExchange Inc.,02/05/2023,Silgan Holdings Inc. Completes Listing Transfer to the New York ...,still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange and Tokyo Stock Exchange ...,still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange and The Johannesburg Stock ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Most crypto should be regulated as securities, NYSE-owner ICE's ...",still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange Reports an Unprecedented Year of ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Enters into Definitive Agreement to ...,still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange and SGX Group Announce Wide ...,still open
IntercontinentalExchange Inc.,02/05/2023,Black Knight and Intercontinental Exchange: Merger Arbitrage ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE warns it could relocate gas trading out of EU if bloc caps price,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Reports November 2022 Statistics,still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange Lists Its First ETF on the Big Board in ...,still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange Launches NYSE Institute ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Third Quarter 2022 Earnings: EPS Misses Expectations,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange upgraded on planned Black Knight ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Social Buzz : Wallstreetbets Stocks Mostly Up Premarket; Intercontinental Exchange Poised to Rise, BlackBerry to Decline",still open
IntercontinentalExchange Inc.,02/05/2023,ICE Announces a Unique Wealth Management Platform Integration ...,still open
IntercontinentalExchange Inc.,02/05/2023,"LyondellBasell Industries, Intercontinental Exchange And These 2 Other Stocks Insiders Are Selling - Lyon",still open
IntercontinentalExchange Inc.,02/05/2023,Here's Why Intercontinental Exchange Bought Black Knight Financial,still open
IntercontinentalExchange Inc.,02/05/2023,U.S. Exchange Stocks Lag Behind German Rival,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange sells 9.9% Euroclear stake to two European buyers,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Publishes Seventh Annual Sustainability ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Announces Strategic Investment in ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE adds One Exchange Data to Canadian Crude Indices and ...,still open
IntercontinentalExchange Inc.,02/05/2023,Explainer: Who would the U.S. SEC's proposed stock market ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (ICE) Stock Price Today, Quote & News",still open
IntercontinentalExchange Inc.,02/05/2023,ICE Extends Climate Risk Management Offering With Acquisition of ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE Launches Plug-and-Play Connectivity to Managed Data Feed in ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE to assess Dutch gas hub trading operations after price cap,still open
IntercontinentalExchange Inc.,02/05/2023,"NYSE Group Announces 2023, 2024 and 2025 Holiday and Early ...",still open
IntercontinentalExchange Inc.,02/05/2023,Is Intercontinental Exchange Stock a Buy?,still open
IntercontinentalExchange Inc.,02/05/2023,ICE Bonds Receives Approval for Expansion in Canada,still open
IntercontinentalExchange Inc.,02/05/2023,"BofA bearish on Robinhood, Schwab after SEC proposed to ...",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange: Growing At A Reasonable Price (NYSE ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE Global Network Expands in Key Asian Markets,still open
IntercontinentalExchange Inc.,02/05/2023,ICE TCFD Solution Provides Greater Transparency Into Carbon ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE takes $1.1 billion write-down for stake in crypto platform Bakkt,still open
IntercontinentalExchange Inc.,02/05/2023,Was Arrowstreet Capital Right About These 10 Finance Stocks?,still open
IntercontinentalExchange Inc.,02/05/2023,Better Buy: Nasdaq vs. Intercontinental Exchange,still open
IntercontinentalExchange Inc.,02/05/2023,ICE Data Services Named Market Data Vendor of the Year in Asia ...,still open
IntercontinentalExchange Inc.,02/05/2023,"CME Group Inc. Cl A stock rises Tuesday, still underperforms market",still open
IntercontinentalExchange Inc.,02/05/2023,Rosenblatt Starts Intercontinental Exchange at Buy With $164 Price Target,still open
IntercontinentalExchange Inc.,02/05/2023,The New York Stock Exchange Announces Launch of the NYSE ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE Launches Multi-Faceted Global Brand and Advertising Campaign,still open
IntercontinentalExchange Inc.,02/05/2023,ICE says it certified compliance with FTC for planned Black Knight ...,still open
IntercontinentalExchange Inc.,02/05/2023,CTBC Investments Selects ICE FactSet Selected Financials and ...,still open
IntercontinentalExchange Inc.,02/05/2023,ICE and Confluence to Offer Integrated ESG Solution for Enhanced ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Announces the Election of Marti ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (NYSE:ICE) Q4 2022 Earnings Call Transcript",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange's (NYSE:ICE) Upcoming Dividend Will Be Larger Than Last Year's,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Announces 11% Increase to its Quarterly ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Reports January 2023 Statistics,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange Inc. stock falls Friday, still outperforms market",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange (NYSE:ICE) Releases Quarterly Earnings ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange (NYSE:ICE) Upgraded by StockNews ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (NYSE:ICE) Shares Sold by Oak ...",still open
IntercontinentalExchange Inc.,02/05/2023,"INTERCONTINENTAL EXCHANGE, INC. MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS (form 10-K)",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Inc. stock outperforms competitors despite losses on the day,still open
IntercontinentalExchange Inc.,02/05/2023,Should You Consider Buying Intercontinental Exchange (ICE)?,still open
IntercontinentalExchange Inc.,02/05/2023,"With 88% ownership of the shares, Intercontinental Exchange, Inc. (NYSE:ICE) is heavily dominated by institutional owners",still open
IntercontinentalExchange Inc.,02/05/2023,BlackRock Cuts Stake in Intercontinental Exchange (ICE),still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange Inc. stock falls Thursday, still outperforms market",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Inc. stock underperforms Friday when compared to competitors,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange to Start Rival London Gas Market to ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange Inc. stock rises Tuesday, outperforms market",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Reports January 2023 Statistics | News ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange launches first carbon-neutral U.S. ...,still open
IntercontinentalExchange Inc.,02/05/2023,Validea Daily Guru Fundamental Report for ICE - 2/1/2023,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Q4 earnings miss narrowly as revenue ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. Forecasted to Post Q4 2022 ...",still open
IntercontinentalExchange Inc.,02/05/2023,Arizona State Retirement System Lowers Stock Holdings in ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (NYSE:ICE) Position Increased by ...",still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (NYSE:ICE) Given Consensus ...",still open
IntercontinentalExchange Inc.,02/05/2023,SeaBridge Investment Advisors LLC Sells 1340 Shares of ...,still open
IntercontinentalExchange Inc.,02/05/2023,Benedict Financial Advisors Inc. increased its position in ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Nasdaq Inc. stock rises Thursday, outperforms market",still open
IntercontinentalExchange Inc.,02/05/2023,Earnings Preview: IntercontinentalExchange (ICE) Q4 Earnings ...,still open
IntercontinentalExchange Inc.,02/05/2023,Betty Liu's SPAC to Close as Deal Hunt Fails After Holders Bail,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. is expected to earn $1.33 per share ...",still open
IntercontinentalExchange Inc.,02/05/2023,Cyberattack Sends Derivatives Trading Back to the 1980s,still open
IntercontinentalExchange Inc.,02/05/2023,Exchange operator TMX invests $175 mln in data analytics firm VettaFi,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. is owned by Rockefeller Capital ...",still open
IntercontinentalExchange Inc.,02/05/2023,2023-01-19 | NYSE:ICE | Press Release | Intercontinental Exchange ...,still open
IntercontinentalExchange Inc.,02/05/2023,New York Stock Exchange says manual error triggered major trading glitch,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (ICE) Q3 2022 Earnings Call Transcript",still open
IntercontinentalExchange Inc.,02/05/2023,"Cboe Global (CBOE) Q4 Earnings Top, Revenues Lag, View Revised",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Chair & CEO Jeffrey C. Sprecher to ...,still open
IntercontinentalExchange Inc.,02/05/2023,Kohl's names Kingsbury as permanent CEO,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange Reports December, Fourth Quarter and ...",still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (ICE) CEO Jeff Sprecher on Q2 2022 ...",still open
IntercontinentalExchange Inc.,02/05/2023,Is Intercontinental Exchange Stock Attractive At The Current Levels?,still open
IntercontinentalExchange Inc.,02/05/2023,Why I'm Bullish On Intercontinental Exchange (NYSE:ICE),still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange, Inc. (NYSE:ICE) is favoured by institutional owners who hold 88% of the company",still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Enters into Definitive Agreement to ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Approves Fourth Quarter Dividend of ...,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Inc. stock outperforms market despite losses on the day,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Inc. stock underperforms Monday when compared to competitors,still open
IntercontinentalExchange Inc.,02/05/2023,Intercontinental Exchange Announces Strategic Investment in ...,still open
IntercontinentalExchange Inc.,02/05/2023,"Intercontinental Exchange Stock: Great Quality, Attractively Priced ...",still open
