Name,Data,News,Evaluation
Zalando,02/05/2023,Zalando share price is on a seasonal discount: Has the market ...,still open
Zalando,02/05/2023,ASOS : Trading statement for the four months ended 31 December 2022,still open
Zalando,02/05/2023,"Germany's DAX index returns to bull market, rising 20% from September lows",still open
Zalando,02/05/2023,Business-to-Business ECommerce Market with Highly Lucrative ...,still open
Zalando,02/05/2023,3 European tech companies that are hiring right now,still open
Zalando,02/05/2023,"Alibaba’s Lazada Eyes Europe Push to Take on Amazon, Zalando",still open
Zalando,02/05/2023,Europe's largest online fashion retailer bets sales slump is just a blip,still open
Zalando,02/05/2023,European stocks close lower as markets fail to regain positive momentum,still open
Zalando,02/05/2023,Zalando enters the adaptive fashion race,still open
Zalando,02/05/2023,Is Now The Time To Put Zalando (ETR:ZAL) On Your Watchlist?,still open
Zalando,02/05/2023,Yours Clothing buys the M&Co website and brand from administrators,still open
Zalando,02/05/2023,"Tech Brief: EUCS options, 'fair share' questionnaire",still open
Zalando,02/05/2023,Zalando's Q1 Results: Pandemic-related Boom Is Over – WWD,still open
Zalando,02/05/2023,Zalando Is Set To Conquer The European Fashion Market ...,still open
Zalando,02/05/2023,"Zalando, Amazon, Inditex lead in European cross-border fashion e-tail",still open
Zalando,02/05/2023,Zalando : Brooks launch to inspire Zalando's running community,still open
Zalando,02/05/2023,"About You, Yoox Net-a-porter and Zalando Have One Shared ...",still open
Zalando,02/05/2023,Zalando Forecasts Sales Growth to Decelerate in 2022,still open
Zalando,02/05/2023,Phluid Teams With Zalando for Genderless Collection,still open
Zalando,02/05/2023,What Does Zalando Get Out of Majority Stake in Highsnobiety ...,still open
Zalando,02/05/2023,ASOS Is A Strong Buy (OTCMKTS:ASOMY),still open
Zalando,02/05/2023,Amazon's revenue grows 9% in 2022,still open
Zalando,02/05/2023,Zalando Joins Retailers Rethinking Their Sustainability Edits,still open
Zalando,02/05/2023,Zalando Builds An Extensive Partnership Ecosystem To Support ...,still open
Zalando,02/05/2023,European stocks climb to over 2-week highs led by HelloFresh ...,still open
Zalando,02/05/2023,Three Things You Need To Know: Head-to-Head in European ...,still open
Zalando,02/05/2023,Baader Bank raises target for Zalando to 50 euros - 'Add',still open
Zalando,02/05/2023,Breakingviews - Zara owner has $10 bln for online shopping spree,still open
Zalando,02/05/2023,"Nike's Q1 Plagued by Excess Inventory, Aggressive Markdowns ...",still open
Zalando,02/05/2023,"Amazon, Zalando Among Brands Attempting Polyester Recycling",still open
Zalando,02/05/2023,Porsche and the decline of the German stock market,still open
Zalando,02/05/2023,"Zalando: Impressive Growth, But Quite Expensive (OTCMKTS:ZLDSF)",still open
Zalando,02/05/2023,Q4 Outlook: Europe is a Sea of Undervalued Stocks,still open
Zalando,02/05/2023,Zalando: Growing Through The Partner Program Strategy ...,still open
Zalando,02/05/2023,Can Black Friday solve fashion's stock problem?,still open
Zalando,02/05/2023,European markets open to close; Bank of England interest rate ...,still open
Zalando,02/05/2023,Germany stocks higher at close of trade; DAX up 3.51% By Investing ...,still open
Zalando,02/05/2023,Europe Online Fashion (Apparel and Footwear) Market Insights ...,still open
Zalando,02/05/2023,STOXX 600 Q3 2022 Earnings Preview: Expectations Rise Heading ...,still open
Zalando,02/05/2023,Zalando hires ex-Bloomberg journalist for top corporate affairs role,still open
Zalando,02/05/2023,C&A expands Zalando partnership,still open
Zalando,02/05/2023,Austria B2C Ecommerce Market Opportunities Report 2022 ...,still open
Zalando,02/05/2023,Kinnevik intends to propose a distribution of its Zalando ...,still open
Zalando,02/05/2023,Germany stocks higher at close of trade; DAX up 0.04% By Investing ...,still open
Zalando,02/05/2023,ZALANDO LAUNCHES 'GO NOTICED' - A NEW CAMPAIGN THAT CELEBRATES STREET CULTURE AND PERSONAL STYLE,still open
Zalando,02/05/2023,"""We have an incredible ecosystem to offer brands"" (Megan Maley ...",still open
Zalando,02/05/2023,Sweden's Kinnevik to distribute $6.6 billion Zalando stake to ...,still open
Zalando,02/05/2023,"Germany B2C e-Commerce Market Report 2022-2026 Featuring Amazon, Lidl, MediaMarkt, OTTO, Zalando, Booking.com, Expedia, FlixBus, HolidayCheck, Trivago, Lieferando, Wolt, Uber, HelloFresh, Gorillas",still open
Zalando,02/05/2023,European markets close sharply lower; Russian convoy heads for Kyiv; Stoxx 600 down 2.2%,still open
Zalando,02/05/2023,Zalando Worth $6.8 Billion After Pricing IPO At More Than $27 A Share,still open
Zalando,02/05/2023,Breakingviews - Battered online retailers need new fashion model,still open
Zalando,02/05/2023,Zalando Co-CEO Rules Out Mass Layoffs After Calling Online Shopping Slump Temporary,still open
Zalando,02/05/2023,Magazino expands robot fleet to 57 in Zalando logistics centers,still open
Zalando,02/05/2023,"If You Thought the Tech Rout Was Bad, Spare a Dime for Retailers",still open
Zalando,02/05/2023,Zalando passes the 10 billion euros mark in sales,still open
Zalando,02/05/2023,Zalando discontinues Zircle secondhand fashion platform,still open
Zalando,02/05/2023,"Zalando, Burberry Back Inclusion Initiative The Outsiders Perspective",still open
Zalando,02/05/2023,Zalando Brings Together Europe's Best Runners to Showcase ...,still open
Zalando,02/05/2023,Zalando Street Takes Barcelona's Skate Scene,still open
Zalando,02/05/2023,Zalando outlets to offer pre-owned apparel,still open
Zalando,02/05/2023,Rathbones' Jackson: A sign that shows markets could be near the ...,still open
Zalando,02/05/2023,Live news updates from June 24: US Supreme Court overturns Roe ...,still open
Zalando,02/05/2023,"At Zalando, Growth Slows as Lockdown Shopping Boom Ebbs",still open
Zalando,02/05/2023,ASOS target slashed by broker with equity raise possible and 'tough ...,still open
Zalando,02/05/2023,"Zalando reports 30% rise in full-year sales, and is set to expand ...",still open
Zalando,02/05/2023,"Zalando Revenues Rise 34% in Q2, Even as European Lockdown ...",still open
Zalando,02/05/2023,"HelloFresh, Zalando to Join DAX in German Benchmark Revamp",still open
Zalando,02/05/2023,STAMM wins AW23 Zalando Sustainability Award | Sustainability ...,still open
Zalando,02/05/2023,Copenhagen Fashion Week: Stamm wins Zalando Sustainability ...,still open
Zalando,02/05/2023,Zalando (ETR:ZAL) Is Reinvesting At Lower Rates Of Return,still open
Zalando,02/05/2023,"Zalando : shopping club introduces new brand identity, changes name to Lounge by Zalando",still open
Zalando,02/05/2023,Zalando Stock: Unbelievably Pricey (OTCMKTS:ZLDSF),still open
Zalando,02/05/2023,Zalando Taps Ukrainian Designer Ksenia Schnaider for Denim ...,still open
Zalando,02/05/2023,Zalando Appoints iProspect as Global Media Agency of Record,still open
Zalando,02/05/2023,Boohoo downgraded as it can't compete with rivals like Shein ...,still open
Zalando,02/05/2023,BofA raises Zalando from 'Underperform' to 'Buy' - Target 50 euros,still open
Zalando,02/05/2023,"Zalando wants to be one-stop shop for children, with toys",still open
Zalando,02/05/2023,Bank of America Analysts Turning Bullish on European Online ...,still open
Zalando,02/05/2023,"Pitch Update: Netflix, Pol Roger, Zalando, Donald Russell ...",still open
Zalando,02/05/2023,Amazon and Alibaba lead in cross-border ecommerce,still open
Zalando,02/05/2023,Selam Fessahaye Fall/Winter 2023 Copenhagen Fashion Week,still open
Zalando,02/05/2023,Top productivity tips from a senior software engineer,still open
Zalando,02/05/2023,Magazino expands robot fleet to 57 in Zalando logistics centers,still open
Zalando,02/05/2023,"Retail Market to Witness Huge Growth by 2029 -Alibaba, Amazon ...",still open
Zalando,02/05/2023,Shareholder Meetings Are ‘Neglecting’ the ‘E’ and ‘S’ of ESG,still open
Zalando,02/05/2023,European Stocks Close Higher,still open
Zalando,02/05/2023,Why Businesses Must Stop Disregarding People With Disabilities,still open
Zalando,02/05/2023,Zalando and Nike Announce New Partnership,still open
Zalando,02/05/2023,Zalando sees FY results at lower end of target range,still open
Zalando,02/05/2023,Zalando shares jump on return to profit in consumer gloom,still open
Zalando,02/05/2023,Zalando enters the adaptive fashion race,still open
Zalando,02/05/2023,"Expecting a Rebound, Germany's Zalando Won't Follow eCommerce Trend by Cutting Jobs",still open
Zalando,02/05/2023,"Alibaba’s Lazada to take on Amazon, Zalando in Europe push",still open
Zalando,02/05/2023,Zalando outlets to offer pre-owned apparel,still open
Zalando,02/05/2023,Is It Too Late To Consider Buying Zalando SE (ETR:ZAL)?,still open
Zalando,02/05/2023,Is Zalando (ETR:ZAL) A Risky Investment?,still open
Zalando,02/05/2023,Phluid Teams With Zalando for Genderless Collection,still open
Zalando,02/05/2023,Zalando discontinues Zircle secondhand fashion platform,still open
Zalando,02/05/2023,Zalando snaps up majority stake in Highsnobiety,still open
Zalando,02/05/2023,Zalando Joins Retailers Rethinking Their Sustainability Edits,still open
Zalando,02/05/2023,Returns On Capital Signal Tricky Times Ahead For Zalando (ETR:ZAL),still open
Zalando,02/05/2023,Zalando SE (ETR:ZAL) is a favorite amongst institutional investors who own 59%,still open
Zalando,02/05/2023,"Zalando Stock: Right Company, Wrong Time (OTCMKTS:ZLDSF)",still open
Zalando,02/05/2023,Shop Exclusive Reebok Club C 85 at Zalando Plus Here,still open
Zalando,02/05/2023,Zalando Share Price Drops After Cutting Guidance on Worsening ...,still open
Zalando,02/05/2023,Shareholders in Zalando (ETR:ZAL) are in the red if they invested a year ago,still open
Zalando,02/05/2023,Business-to-Business ECommerce Market with Highly Lucrative ...,still open
Zalando,02/05/2023,"About You, Yoox Net-a-porter and Zalando Have One Shared ...",still open
Zalando,02/05/2023,Zalando wins Norwegian Green Washing Award | Fashion & Retail ...,still open
Zalando,02/05/2023,Zalando Builds An Extensive Partnership Ecosystem To Support ...,still open
Zalando,02/05/2023,Zalando SE's (ETR:ZAL) Intrinsic Value Is Potentially 61% Above Its Share Price,still open
Zalando,02/05/2023,"Zalando : introduces updated operating model, reappoints David Schröder as COO",still open
Zalando,02/05/2023,"Burberry, Zalando and British Fashion Council Team Up on Diversity ...",still open
Zalando,02/05/2023,Zalando SE's (ETR:ZAL) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong?,still open
Zalando,02/05/2023,"Zalando halts secondhand purchases in France, Belgium",still open
Zalando,02/05/2023,Zalando puts launch in the US on hold,still open
Zalando,02/05/2023,3 European tech companies that are hiring right now,still open
Zalando,02/05/2023,Zalando's Q1 Results: Pandemic-related Boom Is Over – WWD,still open
Zalando,02/05/2023,"Zalando, Amazon, Inditex lead in European cross-border fashion e-tail",still open
Zalando,02/05/2023,"Zalando Stock: Buy If It Dips, Hold For Now",still open
Zalando,02/05/2023,"Weird Fish partners with Next Plc, Zalando for overseas expansion",still open
Zalando,02/05/2023,"Amazon, Zalando Among Brands Attempting Polyester Recycling",still open
Zalando,02/05/2023,Flowery notions: 13 blooming lovely ways to rock spring florals,still open
Zalando,02/05/2023,Zalando Street Takes Barcelona's Skate Scene,still open
Zalando,02/05/2023,H&M Tussles with Norway Over Unsold Products,still open
Zalando,02/05/2023,Zalando Brings Together Europe's Best Runners to Showcase ...,still open
Zalando,02/05/2023,"Zalando Street ""Go Noticed"" Campaign",still open
Zalando,02/05/2023,Scottish Mortgage Trust share price headwinds put recovery at risk,still open
Zalando,02/05/2023,DD : Zalando SE,still open
Zalando,02/05/2023,C&A expands Zalando partnership,still open
Zalando,02/05/2023,European Stocks Close Lower After Cautious Session,still open
Zalando,02/05/2023,Morgan Stanley has raised its price target on Zalando (OTCMKTS ...,still open
Zalando,02/05/2023,"Zalando Shopping Club wird zu ""Lounge by Zalando""",still open
Zalando,02/05/2023,Zalando hires ex-Bloomberg journalist for top corporate affairs role,still open
Zalando,02/05/2023,New Zalando campaign stars Paloma Elsesser,still open
Zalando,02/05/2023,Zalando Beats Expectations for 2021,still open
Zalando,02/05/2023,ZALANDO LAUNCHES 'GO NOTICED' - A NEW CAMPAIGN THAT CELEBRATES STREET CULTURE AND PERSONAL STYLE,still open
Zalando,02/05/2023,Zalando : Brooks launch to inspire Zalando's running community,still open
Zalando,02/05/2023,Zalando puts an end to its styling service Zalon,still open
Zalando,02/05/2023,Three Things You Need To Know: Head-to-Head in European ...,still open
Zalando,02/05/2023,"Zalando, Burberry Back Inclusion Initiative The Outsiders Perspective",still open
Zalando,02/05/2023,Ranra wins Zalando Sustainability Award at Copenhagen Fashion ...,still open
Zalando,02/05/2023,Earning app Zalando disappears; scam application leaves millions ...,still open
Zalando,02/05/2023,Amazon outpaces Zalando and Wehkamp in top Dutch ecommerce,still open
Zalando,02/05/2023,Yours Clothing buys the M&Co website and brand from administrators,still open
Zalando,02/05/2023,Zalando trials repair service to extend life of fashion,still open
Zalando,02/05/2023,Zalando names new corporate development leader from Walmart,still open
Zalando,02/05/2023,Zalando brand sales increase – but revenue dips and it reports a ...,still open
Zalando,02/05/2023,Europe Online Fashion (Apparel and Footwear) Market Insights ...,still open
Zalando,02/05/2023,Baader Bank raises target for Zalando to 50 euros - 'Add',still open
Zalando,02/05/2023,Avito alumnus Erik Segerborg made Pet Media Group chair,still open
Zalando,02/05/2023,Zalando Stock Is Significantly Undervalued (OTCMKTS:ZLDSF),still open
Zalando,02/05/2023,Is Now The Time To Put Zalando (ETR:ZAL) On Your Watchlist?,still open
Zalando,02/05/2023,Fashion Attendees At Cop27 Say Meaningful Targets And Greenwashing Are Key Concerns,still open
Zalando,02/05/2023,We talk to Paloma Elsesser about her Make A Moment campaign ...,still open
Zalando,02/05/2023,NGO challenges Zalando on sourcing policies | Fashion & Retail ...,still open
Zalando,02/05/2023,"Zalando Revenues Rise 34% in Q2, Even as European Lockdown ...",still open
Zalando,02/05/2023,wefox Appoints Zalando's Laura Eschricht as Chief Marketing Officer ...,still open
Zalando,02/05/2023,"""We have an incredible ecosystem to offer brands"" (Megan Maley ...",still open
Zalando,02/05/2023,The Zalando Greenhouse Brings Copenhagen Fashion Week to You,still open
Zalando,02/05/2023,The Zalando journey to circularity at scale,still open
Zalando,02/05/2023,Zalando Stock: Unbelievably Pricey (OTCMKTS:ZLDSF),still open
Zalando,02/05/2023,Zalando (ETR:ZAL) Is Reinvesting At Lower Rates Of Return,still open
Zalando,02/05/2023,Bank of America Analysts Turning Bullish on European Online ...,still open
Zalando,02/05/2023,"Zalando : shopping club introduces new brand identity, changes name to Lounge by Zalando",still open
Zalando,02/05/2023,Boohoo downgraded as it can't compete with rivals like Shein ...,still open
Zalando,02/05/2023,European Stocks Close Higher,still open
Zalando,02/05/2023,BofA raises Zalando from 'Underperform' to 'Buy' - Target 50 euros,still open
Zalando,02/05/2023,EXPE or ZLNDY: Which Is the Better Value Stock Right Now?,still open
Zalando,02/05/2023,Scottish Mortgage Trust share price headwinds put recovery at risk,still open
Zalando,02/05/2023,"Zalando Stock: Right Company, Wrong Time (OTCMKTS:ZLDSF)",still open
Zalando,02/05/2023,Amazon and Alibaba lead in cross-border ecommerce,still open
Zalando,02/05/2023,Is It Too Late To Consider Buying Zalando SE (ETR:ZAL)?,still open
Zalando,02/05/2023,"Zalando Stock: Buy If It Dips, Hold For Now",still open
Zalando,02/05/2023,Zalando Share Price Drops After Cutting Guidance on Worsening ...,still open
Zalando,02/05/2023,"European Stocks Close Higher After ECB, BoE Announce Rate ...",still open
Zalando,02/05/2023,Germany stocks lower at close of trade; DAX down 0.16% By ...,still open
Zalando,02/05/2023,Shareholders in Zalando (ETR:ZAL) are in the red if they invested a year ago,still open
Zalando,02/05/2023,Is Zalando (ETR:ZAL) A Risky Investment?,still open
Zalando,02/05/2023,Zalando shares jump on return to profit in consumer gloom,still open
Zalando,02/05/2023,Zalando SE's (ETR:ZAL) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong?,still open
Zalando,02/05/2023,Zalando SE (ETR:ZAL) is a favorite amongst institutional investors who own 59%,still open
Zalando,02/05/2023,Zalando Rises as Minimum Order Rule Stops the Rot in 3Q,still open
Zalando,02/05/2023,Zalando Stock Is Significantly Undervalued (OTCMKTS:ZLDSF),still open
Zalando,02/05/2023,DD : Zalando SE,still open
Zalando,02/05/2023,"Retail Market to Witness Huge Growth by 2029 -Alibaba, Amazon ...",still open
Zalando,02/05/2023,Zalando SE's (ETR:ZAL) Intrinsic Value Is Potentially 61% Above Its Share Price,still open
Zalando,02/05/2023,Zalando and Nike Announce New Partnership,still open
Zalando,02/05/2023,Morgan Stanley has raised its price target on Zalando (OTCMKTS ...,still open
Zalando,02/05/2023,"Zalando : introduces updated operating model, reappoints David Schröder as COO",still open
Zalando,02/05/2023,Returns On Capital Signal Tricky Times Ahead For Zalando (ETR:ZAL),still open
Zalando,02/05/2023,Zalando share price is on a seasonal discount: Has the market ...,still open
Zalando,02/05/2023,ASOS : Trading statement for the four months ended 31 December 2022,still open
Zalando,02/05/2023,"Germany's DAX index returns to bull market, rising 20% from September lows",still open
Zalando,02/05/2023,Business-to-Business ECommerce Market with Highly Lucrative ...,still open
Zalando,02/05/2023,3 European tech companies that are hiring right now,still open
Zalando,02/05/2023,"Alibaba’s Lazada Eyes Europe Push to Take on Amazon, Zalando",still open
Zalando,02/05/2023,Europe's largest online fashion retailer bets sales slump is just a blip,still open
Zalando,02/05/2023,European stocks close lower as markets fail to regain positive momentum,still open
Zalando,02/05/2023,Zalando enters the adaptive fashion race,still open
Zalando,02/05/2023,Is Now The Time To Put Zalando (ETR:ZAL) On Your Watchlist?,still open
Zalando,02/05/2023,Yours Clothing buys the M&Co website and brand from administrators,still open
