Name,Data,News,Evaluation
Pinnacle West Capital,02/05/2023,Pinnacle West Capital Co. (NYSE:PNW) Shares Purchased by ...,still open
Pinnacle West Capital,02/05/2023,"Pinnacle West Capital Corp. stock falls Friday, underperforms market",still open
Pinnacle West Capital,02/05/2023,ProShare Advisors LLC invested $1.60 million in Pinnacle West ...,still open
Pinnacle West Capital,02/05/2023,"Pinnacle West Capital Corp. stock rises Friday, still underperforms ...",still open
Pinnacle West Capital,02/05/2023,"Ex-Dividend Reminder: Pinnacle West Capital, NRG Energy and ...",still open
Pinnacle West Capital,02/05/2023,Russell Investments Group Ltd. Sells 76705 Shares of Pinnacle ...,still open
Pinnacle West Capital,02/05/2023,Pinnacle West Capital Corp. stock underperforms Monday when compared to competitors despite daily gains,still open
Pinnacle West Capital,02/05/2023,Pinnacle West Capital Corp. stock outperforms competitors on strong trading day,still open
Pinnacle West Capital,02/05/2023,Pinnacle West Capital Corp. stock outperforms competitors despite losses on the day,still open
Pinnacle West Capital,02/05/2023,Raymond James Financial Services Advisors Inc. Reduces Holdings ...,still open
Pinnacle West Capital,02/05/2023,Brokerages have given Pinnacle West Capital Co. (NYSE:PNW) a ...,still open
Pinnacle West Capital,02/05/2023,"Atria Investments LLC purchased 24,652 shares of Pinnacle West ...",still open
Pinnacle West Capital,02/05/2023,"Morgan Stanley Adjusts Pinnacle West Capital's Price Target to $79 From $75, Keeps Equalweight Rating",still open
Pinnacle West Capital,02/05/2023,Pinnacle West Capital : Interview with CEO Guldner explores APS's clean energy goals and more,still open
Pinnacle West Capital,02/05/2023,"KeyBanc Adjusts Pinnacle West Capital's Price Target to $55 From $56, Keeps Underweight Rating",still open
Pinnacle West Capital,02/05/2023,Morgan Stanley Maintains Equal-Weight on Pinnacle West Capital ...,still open
Pinnacle West Capital,02/05/2023,45%of this Pinnacle West Capital Corporation (NYSE:PNW) insider's holdings were sold in the last year,still open
Pinnacle West Capital,02/05/2023,Pinnacle West Capital (NYSE:PNW) Has No Shortage Of Debt,still open
Pinnacle West Capital,02/05/2023,Estimating The Intrinsic Value Of Pinnacle West Capital Corporation (NYSE:PNW),still open
Pinnacle West Capital,02/05/2023,Pinnacle West Capital (NYSE:PNW) investors are sitting on a loss of 25% if they invested three years ago,still open
Pinnacle West Capital,02/05/2023,Taking A Look At Pinnacle West Capital's ROE,still open
Pinnacle West Capital,02/05/2023,Reasons to Add Pinnacle West Capital (PNW) to Your Portfolio,still open
Pinnacle West Capital,02/05/2023,Pinnacle West Capital Corporation (PNW) CEO Jeff Guldner on Q2 ...,still open
Pinnacle West Capital,02/05/2023,Pinnacle West Capital's (NYSE:PNW) Returns On Capital Not Reflecting Well On The Business,still open
Pinnacle West Capital,02/05/2023,Lawsuit alleges Pinnacle West Capital used outdated mortality ...,still open
Pinnacle West Capital,02/05/2023,Investors in Pinnacle West Capital (NYSE:PNW) have unfortunately lost 13% over the last three years,still open
Pinnacle West Capital,02/05/2023,"Pinnacle West Capital Corp. stock rises Monday, outperforms market",still open
Pinnacle West Capital,02/05/2023,Pinnacle West Declares Quarterly Dividend,still open
