Name,Data,News,Evaluation
Marathon Oil Corp.,02/05/2023,Marathon Oil Corporation Declares Fourth Quarter 2022 Dividend,still open
Marathon Oil Corp.,02/05/2023,"Marathon Petroleum tops profit estimates on high demand, tight ...",still open
Marathon Oil Corp.,02/05/2023,Marathon Petroleum Corp. Reports Fourth-Quarter and Full-Year ...,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Corp. stock underperforms Friday when compared to competitors,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Stock Undervalued Based On Competitor Analysis ...,still open
Marathon Oil Corp.,02/05/2023,Marathon Petroleum Co. (NYSE:MPC) Given Consensus Rating of ...,still open
Marathon Oil Corp.,02/05/2023,Marathon Petroleum Corporation announces election of new director,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Corp. stock outperforms competitors despite losses on the day,still open
Marathon Oil Corp.,02/05/2023,Cambria Investment Management L.P. Has $5.64 Million Stock ...,still open
Marathon Oil Corp.,02/05/2023,"With 79% ownership of the shares, Marathon Oil Corporation (NYSE:MRO) is heavily dominated by institutional owners",still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Corp. stock outperforms competitors on strong trading day,still open
Marathon Oil Corp.,02/05/2023,"Marathon Oil Corp. stock rises Thursday, outperforms market",still open
Marathon Oil Corp.,02/05/2023,March 24th Options Now Available For Marathon Oil (MRO),still open
Marathon Oil Corp.,02/05/2023,Marathon Petroleum Corp. Announces Quarterly Dividend,still open
Marathon Oil Corp.,02/05/2023,BlackRock Inc. Ups Stake in Marathon Oil Corporation (MRO),still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Co. (NYSE:MRO) Shares Bought by Empowered ...,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Co. (NYSE:MRO) Shares Purchased by Glenmede ...,still open
Marathon Oil Corp.,02/05/2023,Kay L. Ziessler worked for Marathon Oil Company,still open
Marathon Oil Corp.,02/05/2023,"Factbox: Bumper profits fuel surge in dividends, buybacks at oil firms",still open
Marathon Oil Corp.,02/05/2023,U.S. refiners throttle back Q1 output after record 2022 runs,still open
Marathon Oil Corp.,02/05/2023,15 Most Undervalued Large Cap Stocks To Buy According To Hedge Funds,still open
Marathon Oil Corp.,02/05/2023,11 Best American Oil Stocks To Buy Now,still open
Marathon Oil Corp.,02/05/2023,Marathon's El Paso oil refinery air permit renewed by TCEQ over ...,still open
Marathon Oil Corp.,02/05/2023,20 Stocks That Are Aggressively Buying Back Shares According To Goldman Sachs,still open
Marathon Oil Corp.,02/05/2023,"After Hours Most Active for Feb 3, 2023 : ADC, CRK, AAPL, QQQ, F ...",still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Reports Third Quarter 2022 Results,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Completes Eagle Ford Acquisition,still open
Marathon Oil Corp.,02/05/2023,Virent biobased fuel used in SAF demonstration flight ...,still open
Marathon Oil Corp.,02/05/2023,Top Picks 2023: Seven Ways To Energize Portfolios,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Announces Eagle Ford Acquisition,still open
Marathon Oil Corp.,02/05/2023,El Paso 7-Elevens rebranded DK stores by Tennessee oil-refining ...,still open
Marathon Oil Corp.,02/05/2023,Is a Beat in Store for ConocoPhillips (COP) in Q4 Earnings?,still open
Marathon Oil Corp.,02/05/2023,Big Oil Made Record 2022 Profits While Fleecing California Families ...,still open
Marathon Oil Corp.,02/05/2023,Top 25 Lowest P/E Ratios of the S&P 500,still open
Marathon Oil Corp.,02/05/2023,Shirley Ann Jackson,still open
Marathon Oil Corp.,02/05/2023,"Stock market today: Dow wobbles on jitters ahead of Fed meeting, big tech earnings",still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Reports Second Quarter 2022 Results,still open
Marathon Oil Corp.,02/05/2023,MPC: 2 Energy Stocks to Buy in January if You Haven't Already,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Corporation Declares Second Quarter 2022 Dividend,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Schedules Third Quarter 2022 Earnings Release and ...,still open
Marathon Oil Corp.,02/05/2023,Super Absorbent Pet Pad Market Is Thriving Worldwide-ExxonMobil ...,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Corp. stock underperforms Monday when compared to competitors,still open
Marathon Oil Corp.,02/05/2023,"Shell (SHEL) Beats Q4 Earnings on Higher Price, LNG Sales",still open
Marathon Oil Corp.,02/05/2023,Marathon Oil: Consider Selling (NYSE:MRO),still open
Marathon Oil Corp.,02/05/2023,"Marathon Oil Corporation (NYSE:MRO) Looks Like A Good Stock, And It's Going Ex-Dividend Soon",still open
Marathon Oil Corp.,02/05/2023,20 Largest Petrochemical Companies in the World,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Stock: Strong Fundamentals Support Profitability In 2023,still open
Marathon Oil Corp.,02/05/2023,Will Marathon Oil Corp (MRO) Beat the Rest of the Stocks in the Energy Sector?,still open
Marathon Oil Corp.,02/05/2023,Marathon Oil: Solid Oil Equivalent Production In Q3 2022 (NYSE:MRO),still open
Marathon Oil Corp.,02/05/2023,Marathon Oil Corporation (MRO) Q3 2022 Earnings Call Transcript,still open
