Name,Data,News,Evaluation
Gannett Co.,02/05/2023,Great West Life Assurance Co. Can Takes $261000 Position in ...,still open
Gannett Co.,02/05/2023,"GANNETT CO., INC. : Regulation FD Disclosure, Financial Statements and Exhibits (form 8-K)",still open
Gannett Co.,02/05/2023,"Counterpoint Mutual Funds LLC Takes Position in Gannett Co., Inc ...",still open
Gannett Co.,02/05/2023,USA Today publisher Gannett reduces debt by $22.3 million using proceeds from real estate sales,still open
Gannett Co.,02/05/2023,Where Does GANNETT CO INC. Common Stock (TGNA) Stock Fall in the Broadcasting Field After It Has Risen 2.95% This Week?,still open
Gannett Co.,02/05/2023,Gannett Announces Further Debt Repayment | News | bakersfield.com,still open
Gannett Co.,02/05/2023,USA TODAY NETWORK Ventures Announces 2023 PLANTERS ...,still open
Gannett Co.,02/05/2023,Gannett Sells Real Estate to Pay Down Debt,still open
Gannett Co.,02/05/2023,Gannett Says 'Tortured Theory' Fatal To Facebook Cookie Suit,still open
Gannett Co.,02/05/2023,Longtime Metro Detroit labor lawyer Robert Vercruysse dies at 78,still open
Gannett Co.,02/05/2023,Final St. Cloud Times reporter leaves newspaper,still open
Gannett Co.,02/05/2023,Gannett Announces Further Debt Repayment,still open
Gannett Co.,02/05/2023,"RAGBRAI 2023 route, towns, and what to know about the 50th year ...",still open
Gannett Co.,02/05/2023,USA TODAY Network and Gannett Foundation Announce 2022 “A ...,still open
Gannett Co.,02/05/2023,Gannett Fleming Appoints Michael Della Rocca to the Board of ...,still open
Gannett Co.,02/05/2023,LocaliQ Reveals New Logo And ‘Seize Your Potential’ Campaign,still open
Gannett Co.,02/05/2023,"EWTN restructures domestic news outlets, aims to further U.S. and ...",still open
Gannett Co.,02/05/2023,Alison Engel Joins LeaseAccelerator as Chief Financial Officer,still open
Gannett Co.,02/05/2023,Gannett and Sanctuary Foretell Best-in-Class Horoscopes,still open
Gannett Co.,02/05/2023,Gannett Announces Strategic Organizational Restructuring,still open
Gannett Co.,02/05/2023,Vincent Cirel Joins Gannett as Chief Technology Officer,still open
Gannett Co.,02/05/2023,Multiple Headwinds Impacted Gannett Co. (GCI) Stock in the Third Quarter,still open
Gannett Co.,02/05/2023,Sustainability,still open
Gannett Co.,02/05/2023,Rolling the Dice on Gannett,still open
Gannett Co.,02/05/2023,LocaliQ Launches New Scheduling Management Software for Small ...,still open
Gannett Co.,02/05/2023,MICHIGAN SCIENCE CENTER COMPETING FOR TOP SCIENCE ...,still open
Gannett Co.,02/05/2023,Fitch Affirms Gannett's IDR at 'B'; Outlook Revised to Negative,still open
Gannett Co.,02/05/2023,Gannett Announces Widespread Cost-Cutting,still open
Gannett Co.,02/05/2023,PROJECT | Here For It,still open
Gannett Co.,02/05/2023,Gannett Announces Third Quarter 2022 Results and Reiterates Full Year Outlook,still open
Gannett Co.,02/05/2023,Reviewed Announces 2022 Best of Year Awards,still open
Gannett Co.,02/05/2023,USA Today Owner Gannett Co. Gave Advertisers Inaccurate ...,still open
Gannett Co.,02/05/2023,The good news and bad news about Gannett: Gannett's 2022 ...,still open
Gannett Co.,02/05/2023,Gannett Kicks Off Summer News Internships Focused on Diversity ...,still open
Gannett Co.,02/05/2023,Hundreds of Gannett news staffers stage one-day strike over cost-cutting measures,still open
Gannett Co.,02/05/2023,Gannett unions find racial and gender pay inequities among employees,still open
Gannett Co.,02/05/2023,Gannett and USA TODAY Announce 2022 America Talks Program,still open
Gannett Co.,02/05/2023,Gannett Starts Another Round of Staff Cuts,still open
Gannett Co.,02/05/2023,"Gannett, parent of The Arizona Republic, puts Phoenix printing ...",still open
Gannett Co.,02/05/2023,Gannett Can't Exit Suit Over Information-Sharing With Facebook,still open
