Name,Data,News,Evaluation
Big Lots Inc.,02/05/2023,Red Mountain Group Acquires Big Lots Portfolio for $47.5M -,still open
Big Lots Inc.,02/05/2023,"Is Big Lots, Inc. (NYSE:BIG) Trading At A 23% Discount?",still open
Big Lots Inc.,02/05/2023,"Big Lots Inc (BIG) Stock Is Lower By -11.39% This Week: Buy, Hold, or Sell?",still open
Big Lots Inc.,02/05/2023,Big Lots in Fort Collins to close,still open
Big Lots Inc.,02/05/2023,Big Lots opens in Northbridge Mall - Albert Lea Tribune,still open
Big Lots Inc.,02/05/2023,Kohl’s Names Tom Kingsbury CEO,still open
Big Lots Inc.,02/05/2023,Ellig Group Names President,still open
Big Lots Inc.,02/05/2023,Big Lots Reports Q3 Results,still open
Big Lots Inc.,02/05/2023,"KOHLS CORP : Entry into a Material Definitive Agreement, Change in Directors or Principal Officers, Other Events, Financial Statements and Exhibits (form 8-K)",still open
Big Lots Inc.,02/05/2023,"Big Lots to offer 50% off toys, one-day deals on Thanksgiving Day",still open
Big Lots Inc.,02/05/2023,"Consumer Defensive Stocks Moving Friday: APPH, MF, TTCF, YSG, DDL, BIG, MRRTY, SANW",still open
Big Lots Inc.,02/05/2023,"Big Lots, Inc. (BIG) Q3 2022 Earnings Call Transcript",still open
Big Lots Inc.,02/05/2023,Big Lots expands offering of college essentials at bargain prices,still open
Big Lots Inc.,02/05/2023,Big Lots Selects Retail Industry Veterans As Next Chief ...,still open
Big Lots Inc.,02/05/2023,"Big Lots to host grand opening | News, Sports, Jobs - The Sentinel",still open
Big Lots Inc.,02/05/2023,Big Lots Reports Q2 Results,still open
Big Lots Inc.,02/05/2023,Big Lots and DoorDash partner to provide on-demand access to ...,still open
Big Lots Inc.,02/05/2023,"Big Lots Stock: Big Yield, Big Short Position (NYSE:BIG)",still open
Big Lots Inc.,02/05/2023,Where Will Big Lots Inc (BIG) Stock Go Next After It Has Gained 11.83% in a Week?,still open
Big Lots Inc.,02/05/2023,Big Lots' offering big bargains on furniture during 'Big Labor Day Sale',still open
Big Lots Inc.,02/05/2023,Big Lots Announces Quarterly Dividend on Common Shares,still open
