Ticker Symbol: FURY
Name: Fury Gold Mines Limited Common Shares
Market Cap: 85914105.00
Country: 
IPO Year: 2020
Volume: 70573
Sector: 
Industry: 

First year of data: 2014.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
0.8571428571428571;12.0;1.0;26.0;1.0
0.8571428571428571;26.0;1.0;6.0;2.0
0.8571428571428571;26.0;1.0;6.0;2.0
0.8571428571428571;27.0;1.0;9.0;2.0
0.8571428571428571;28.0;1.0;10.0;2.0
0.8571428571428571;25.0;3.0;8.0;4.0
0.8571428571428571;30.0;3.0;13.0;4.0
0.8571428571428571;30.0;3.0;13.0;4.0
0.8571428571428571;30.0;3.0;13.0;4.0
0.8571428571428571;1.0;4.0;15.0;4.0
0.8571428571428571;2.0;4.0;16.0;4.0
0.8571428571428571;6.0;4.0;17.0;4.0
0.8571428571428571;6.0;4.0;17.0;4.0
0.8571428571428571;8.0;4.0;21.0;4.0
0.8571428571428571;19.0;5.0;2.0;6.0
0.8571428571428571;20.0;11.0;4.0;12.0
0.8571428571428571;23.0;11.0;7.0;12.0
0.8571428571428571;23.0;11.0;7.0;12.0
0.8571428571428571;15.0;12.0;29.0;12.0
1.0;16.0;12.0;30.0;12.0
1.0;17.0;12.0;31.0;12.0
1.0;18.0;12.0;4.0;1.0
1.0;21.0;12.0;5.0;1.0
0.8571428571428571;21.0;12.0;5.0;1.0
0.8571428571428571;21.0;12.0;5.0;1.0
0.8571428571428571;12.0;1.0;27.0;1.0
0.8571428571428571;23.0;1.0;6.0;2.0
0.8571428571428571;26.0;1.0;9.0;2.0
0.8571428571428571;26.0;1.0;9.0;2.0
0.8571428571428571;24.0;3.0;8.0;4.0
0.8571428571428571;25.0;3.0;9.0;4.0
0.8571428571428571;26.0;3.0;10.0;4.0
0.8571428571428571;30.0;3.0;14.0;4.0
0.8571428571428571;30.0;3.0;14.0;4.0
0.8571428571428571;30.0;3.0;14.0;4.0
0.8571428571428571;31.0;3.0;15.0;4.0
0.8571428571428571;1.0;4.0;16.0;4.0
0.8571428571428571;19.0;5.0;3.0;6.0
0.8571428571428571;20.0;5.0;4.0;6.0
0.8571428571428571;23.0;11.0;8.0;12.0
1.0;15.0;12.0;30.0;12.0
1.0;16.0;12.0;31.0;12.0
1.0;17.0;12.0;4.0;1.0
1.0;18.0;12.0;5.0;1.0
1.0;21.0;12.0;6.0;1.0
0.8571428571428571;21.0;12.0;6.0;1.0
0.8571428571428571;21.0;12.0;6.0;1.0
0.8571428571428571;9.0;1.0;27.0;1.0
0.8571428571428571;12.0;1.0;28.0;1.0
0.8571428571428571;12.0;1.0;28.0;1.0
0.8571428571428571;13.0;1.0;29.0;1.0
0.8571428571428571;22.0;1.0;6.0;2.0
0.8571428571428571;23.0;1.0;9.0;2.0
0.8571428571428571;29.0;1.0;13.0;2.0
0.8571428571428571;24.0;3.0;9.0;4.0
0.8571428571428571;25.0;3.0;10.0;4.0
0.8571428571428571;30.0;3.0;15.0;4.0
0.8571428571428571;30.0;3.0;15.0;4.0
0.8571428571428571;30.0;3.0;15.0;4.0
0.8571428571428571;31.0;3.0;16.0;4.0
0.8571428571428571;1.0;4.0;17.0;4.0
0.8571428571428571;2.0;4.0;20.0;4.0
0.8571428571428571;6.0;4.0;21.0;4.0
0.8571428571428571;6.0;4.0;21.0;4.0
0.8571428571428571;6.0;4.0;21.0;4.0
0.8571428571428571;15.0;5.0;2.0;6.0
0.8571428571428571;31.0;8.0;16.0;9.0
0.8571428571428571;31.0;8.0;16.0;9.0
0.8571428571428571;1.0;9.0;17.0;9.0
0.8571428571428571;20.0;11.0;8.0;12.0
0.8571428571428571;23.0;11.0;9.0;12.0
0.8571428571428571;23.0;11.0;9.0;12.0
0.8571428571428571;23.0;11.0;9.0;12.0
0.8571428571428571;14.0;12.0;30.0;12.0
0.8571428571428571;14.0;12.0;30.0;12.0
1.0;15.0;12.0;31.0;12.0
1.0;16.0;12.0;4.0;1.0
1.0;17.0;12.0;5.0;1.0
1.0;18.0;12.0;6.0;1.0
0.8571428571428571;21.0;12.0;7.0;1.0
0.8571428571428571;21.0;12.0;7.0;1.0
0.8571428571428571;8.0;1.0;27.0;1.0
0.8571428571428571;12.0;1.0;29.0;1.0
0.8571428571428571;12.0;1.0;29.0;1.0
1.0;12.0;1.0;29.0;1.0
0.8571428571428571;13.0;1.0;30.0;1.0
0.8571428571428571;21.0;1.0;6.0;2.0
0.8571428571428571;22.0;1.0;9.0;2.0
0.8571428571428571;23.0;1.0;10.0;2.0
0.8571428571428571;26.0;1.0;11.0;2.0
0.8571428571428571;27.0;1.0;12.0;2.0
0.8571428571428571;28.0;1.0;13.0;2.0
0.8571428571428571;29.0;1.0;17.0;2.0
0.8571428571428571;25.0;3.0;13.0;4.0
0.8571428571428571;27.0;3.0;15.0;4.0
0.8571428571428571;30.0;3.0;16.0;4.0
0.8571428571428571;30.0;3.0;16.0;4.0
0.8571428571428571;30.0;3.0;16.0;4.0
0.8571428571428571;1.0;4.0;20.0;4.0
0.8571428571428571;2.0;4.0;21.0;4.0
0.8571428571428571;6.0;4.0;22.0;4.0
0.8571428571428571;6.0;4.0;22.0;4.0
0.8571428571428571;8.0;5.0;27.0;5.0
0.8571428571428571;14.0;5.0;2.0;6.0
0.8571428571428571;15.0;5.0;3.0;6.0
0.8571428571428571;31.0;8.0;17.0;9.0
0.8571428571428571;14.0;12.0;31.0;12.0
1.0;15.0;12.0;4.0;1.0
1.0;16.0;12.0;5.0;1.0
1.0;17.0;12.0;6.0;1.0
0.8571428571428571;18.0;12.0;7.0;1.0
0.8571428571428571;9.0;1.0;29.0;1.0
0.8571428571428571;12.0;1.0;30.0;1.0
1.0;12.0;1.0;30.0;1.0
1.0;12.0;1.0;30.0;1.0
0.8571428571428571;13.0;1.0;2.0;2.0
0.8571428571428571;20.0;1.0;6.0;2.0
1.0;20.0;1.0;6.0;2.0
0.8571428571428571;20.0;1.0;6.0;2.0
0.8571428571428571;26.0;1.0;12.0;2.0
0.8571428571428571;26.0;1.0;12.0;2.0
0.8571428571428571;28.0;1.0;17.0;2.0
0.8571428571428571;25.0;3.0;14.0;4.0
0.8571428571428571;26.0;3.0;15.0;4.0
0.8571428571428571;30.0;3.0;17.0;4.0
0.8571428571428571;30.0;3.0;17.0;4.0
0.8571428571428571;30.0;3.0;17.0;4.0
0.8571428571428571;1.0;4.0;21.0;4.0
0.8571428571428571;2.0;4.0;22.0;4.0
0.8571428571428571;6.0;4.0;23.0;4.0
0.8571428571428571;6.0;4.0;23.0;4.0
0.8571428571428571;15.0;12.0;5.0;1.0
0.8571428571428571;16.0;12.0;6.0;1.0
0.8571428571428571;17.0;12.0;7.0;1.0
0.8571428571428571;8.0;1.0;29.0;1.0
0.8571428571428571;9.0;1.0;30.0;1.0
0.8571428571428571;12.0;1.0;2.0;2.0
1.0;12.0;1.0;2.0;2.0
1.0;12.0;1.0;2.0;2.0
0.8571428571428571;13.0;1.0;3.0;2.0
0.8571428571428571;14.0;1.0;4.0;2.0
0.8571428571428571;15.0;1.0;5.0;2.0
1.0;16.0;1.0;6.0;2.0
1.0;20.0;1.0;9.0;2.0
1.0;20.0;1.0;9.0;2.0
0.8571428571428571;23.0;1.0;12.0;2.0
0.8571428571428571;29.0;1.0;19.0;2.0
0.8571428571428571;18.0;3.0;8.0;4.0
0.8571428571428571;25.0;3.0;15.0;4.0
0.8571428571428571;26.0;3.0;16.0;4.0
0.8571428571428571;27.0;3.0;17.0;4.0
0.8571428571428571;30.0;3.0;20.0;4.0
0.8571428571428571;30.0;3.0;20.0;4.0
0.8571428571428571;30.0;3.0;20.0;4.0
0.8571428571428571;31.0;3.0;21.0;4.0
0.8571428571428571;1.0;4.0;22.0;4.0
0.8571428571428571;2.0;4.0;23.0;4.0
0.8571428571428571;31.0;8.0;21.0;9.0
0.8571428571428571;14.0;12.0;5.0;1.0
0.8571428571428571;15.0;12.0;6.0;1.0
0.8571428571428571;16.0;12.0;7.0;1.0
0.8571428571428571;8.0;1.0;30.0;1.0
0.8571428571428571;9.0;1.0;2.0;2.0
1.0;12.0;1.0;3.0;2.0
1.0;12.0;1.0;3.0;2.0
0.8571428571428571;13.0;1.0;4.0;2.0
0.8571428571428571;14.0;1.0;5.0;2.0
1.0;15.0;1.0;6.0;2.0
1.0;16.0;1.0;9.0;2.0
1.0;20.0;1.0;10.0;2.0
1.0;20.0;1.0;10.0;2.0
0.8571428571428571;26.0;1.0;17.0;2.0
0.8571428571428571;27.0;1.0;18.0;2.0
0.8571428571428571;28.0;1.0;19.0;2.0
0.8571428571428571;29.0;1.0;20.0;2.0
0.8571428571428571;24.0;3.0;15.0;4.0
0.8571428571428571;25.0;3.0;16.0;4.0
0.8571428571428571;26.0;3.0;17.0;4.0
0.8571428571428571;27.0;3.0;20.0;4.0
0.8571428571428571;30.0;3.0;21.0;4.0
0.8571428571428571;30.0;3.0;21.0;4.0
0.8571428571428571;30.0;3.0;21.0;4.0
0.8571428571428571;31.0;3.0;22.0;4.0
0.8571428571428571;1.0;4.0;23.0;4.0
0.8571428571428571;2.0;4.0;24.0;4.0
0.8571428571428571;11.0;5.0;2.0;6.0
0.8571428571428571;15.0;12.0;7.0;1.0
0.8571428571428571;16.0;12.0;8.0;1.0
1.0;12.0;1.0;4.0;2.0
1.0;12.0;1.0;4.0;2.0
0.8571428571428571;14.0;1.0;6.0;2.0
0.8571428571428571;15.0;1.0;9.0;2.0
0.8571428571428571;16.0;1.0;10.0;2.0
0.8571428571428571;20.0;1.0;11.0;2.0
0.8571428571428571;20.0;1.0;11.0;2.0
0.8571428571428571;26.0;1.0;18.0;2.0
0.8571428571428571;27.0;1.0;19.0;2.0
0.8571428571428571;28.0;1.0;20.0;2.0
0.8571428571428571;29.0;1.0;23.0;2.0
0.8571428571428571;24.0;3.0;16.0;4.0
0.8571428571428571;25.0;3.0;17.0;4.0
0.8571428571428571;26.0;3.0;20.0;4.0
0.8571428571428571;27.0;3.0;21.0;4.0
0.8571428571428571;30.0;3.0;22.0;4.0
0.8571428571428571;30.0;3.0;22.0;4.0
0.8571428571428571;30.0;3.0;22.0;4.0
0.8571428571428571;31.0;3.0;23.0;4.0
0.8571428571428571;1.0;4.0;24.0;4.0
0.8571428571428571;2.0;4.0;27.0;4.0
0.8571428571428571;8.0;5.0;2.0;6.0
0.8571428571428571;15.0;12.0;8.0;1.0
0.8571428571428571;6.0;1.0;30.0;1.0
0.8571428571428571;8.0;1.0;3.0;2.0
1.0;12.0;1.0;5.0;2.0
1.0;12.0;1.0;5.0;2.0
0.8571428571428571;13.0;1.0;6.0;2.0
0.8571428571428571;14.0;1.0;9.0;2.0
0.8571428571428571;15.0;1.0;10.0;2.0
0.8571428571428571;16.0;1.0;11.0;2.0
0.8571428571428571;20.0;1.0;12.0;2.0
1.0;20.0;1.0;12.0;2.0
0.8571428571428571;26.0;1.0;19.0;2.0
0.8571428571428571;27.0;1.0;20.0;2.0
0.8571428571428571;28.0;1.0;23.0;2.0
0.8571428571428571;29.0;1.0;24.0;2.0
0.8571428571428571;25.0;3.0;20.0;4.0
0.8571428571428571;26.0;3.0;21.0;4.0
0.8571428571428571;27.0;3.0;22.0;4.0
0.8571428571428571;30.0;3.0;23.0;4.0
0.8571428571428571;30.0;3.0;23.0;4.0
0.8571428571428571;30.0;3.0;23.0;4.0
0.8571428571428571;1.0;4.0;27.0;4.0
0.8571428571428571;2.0;4.0;28.0;4.0
0.8571428571428571;7.0;5.0;2.0;6.0
0.8571428571428571;30.0;11.0;23.0;12.0
0.8571428571428571;15.0;12.0;11.0;1.0
0.8571428571428571;16.0;12.0;12.0;1.0
0.8571428571428571;5.0;1.0;30.0;1.0
0.8571428571428571;6.0;1.0;2.0;2.0
0.8571428571428571;9.0;1.0;5.0;2.0
1.0;12.0;1.0;6.0;2.0
1.0;12.0;1.0;6.0;2.0
1.0;12.0;1.0;6.0;2.0
0.8571428571428571;13.0;1.0;9.0;2.0
0.8571428571428571;14.0;1.0;10.0;2.0
0.8571428571428571;15.0;1.0;11.0;2.0
0.8571428571428571;16.0;1.0;12.0;2.0
0.8571428571428571;20.0;1.0;13.0;2.0
0.8571428571428571;20.0;1.0;13.0;2.0
0.8571428571428571;20.0;1.0;13.0;2.0
0.8571428571428571;26.0;1.0;20.0;2.0
0.8571428571428571;27.0;1.0;23.0;2.0
0.8571428571428571;24.0;3.0;20.0;4.0
0.8571428571428571;25.0;3.0;21.0;4.0
0.8571428571428571;26.0;3.0;22.0;4.0
0.8571428571428571;30.0;3.0;24.0;4.0
0.8571428571428571;30.0;3.0;24.0;4.0
0.8571428571428571;1.0;4.0;28.0;4.0
0.8571428571428571;2.0;4.0;29.0;4.0
0.8571428571428571;4.0;5.0;29.0;5.0
0.8571428571428571;5.0;1.0;2.0;2.0
0.8571428571428571;5.0;1.0;2.0;2.0
0.8571428571428571;6.0;1.0;3.0;2.0
0.8571428571428571;7.0;1.0;4.0;2.0
1.0;8.0;1.0;5.0;2.0
1.0;9.0;1.0;6.0;2.0
1.0;12.0;1.0;9.0;2.0
1.0;12.0;1.0;9.0;2.0
0.8571428571428571;12.0;1.0;9.0;2.0
0.8571428571428571;13.0;1.0;10.0;2.0
0.8571428571428571;14.0;1.0;11.0;2.0
0.8571428571428571;15.0;1.0;12.0;2.0
0.8571428571428571;16.0;1.0;13.0;2.0
0.8571428571428571;20.0;1.0;17.0;2.0
1.0;20.0;1.0;17.0;2.0
0.8571428571428571;20.0;1.0;17.0;2.0
0.8571428571428571;26.0;1.0;23.0;2.0
0.8571428571428571;24.0;3.0;21.0;4.0
0.8571428571428571;25.0;3.0;22.0;4.0
0.8571428571428571;26.0;3.0;23.0;4.0
0.8571428571428571;30.0;3.0;27.0;4.0
0.8571428571428571;31.0;3.0;28.0;4.0
0.8571428571428571;30.0;11.0;28.0;12.0
0.8571428571428571;3.0;12.0;31.0;12.0
0.8571428571428571;5.0;1.0;3.0;2.0
0.8571428571428571;5.0;1.0;3.0;2.0
0.8571428571428571;5.0;1.0;3.0;2.0
0.8571428571428571;8.0;1.0;6.0;2.0
1.0;9.0;1.0;9.0;2.0
1.0;12.0;1.0;10.0;2.0
0.8571428571428571;12.0;1.0;10.0;2.0
1.0;12.0;1.0;10.0;2.0
0.8571428571428571;13.0;1.0;11.0;2.0
0.8571428571428571;14.0;1.0;12.0;2.0
0.8571428571428571;15.0;1.0;13.0;2.0
0.8571428571428571;16.0;1.0;17.0;2.0
1.0;20.0;1.0;18.0;2.0
1.0;20.0;1.0;18.0;2.0
1.0;20.0;1.0;18.0;2.0
0.8571428571428571;23.0;3.0;21.0;4.0
0.8571428571428571;24.0;3.0;22.0;4.0
0.8571428571428571;25.0;3.0;23.0;4.0
0.8571428571428571;26.0;3.0;24.0;4.0
0.8571428571428571;30.0;3.0;28.0;4.0
0.8571428571428571;30.0;3.0;28.0;4.0
0.8571428571428571;17.0;6.0;16.0;7.0
0.8571428571428571;15.0;12.0;14.0;1.0
0.8571428571428571;2.0;1.0;3.0;2.0
0.8571428571428571;2.0;1.0;3.0;2.0
0.8571428571428571;5.0;1.0;4.0;2.0
0.8571428571428571;5.0;1.0;4.0;2.0
0.8571428571428571;5.0;1.0;4.0;2.0
0.8571428571428571;7.0;1.0;6.0;2.0
0.8571428571428571;8.0;1.0;9.0;2.0
1.0;9.0;1.0;10.0;2.0
0.8571428571428571;12.0;1.0;11.0;2.0
1.0;12.0;1.0;11.0;2.0
0.8571428571428571;12.0;1.0;11.0;2.0
1.0;13.0;1.0;12.0;2.0
1.0;14.0;1.0;13.0;2.0
1.0;15.0;1.0;17.0;2.0
1.0;16.0;1.0;18.0;2.0
1.0;20.0;1.0;19.0;2.0
1.0;20.0;1.0;19.0;2.0
0.8571428571428571;20.0;1.0;19.0;2.0
0.8571428571428571;23.0;3.0;22.0;4.0
0.8571428571428571;24.0;3.0;23.0;4.0
0.8571428571428571;25.0;3.0;24.0;4.0
0.8571428571428571;26.0;3.0;27.0;4.0
0.8571428571428571;16.0;6.0;16.0;7.0
0.8571428571428571;17.0;6.0;17.0;7.0
0.8571428571428571;30.0;11.0;30.0;12.0
0.8571428571428571;30.0;11.0;30.0;12.0
0.8571428571428571;16.0;12.0;19.0;1.0
0.8571428571428571;30.0;12.0;1.0;2.0
0.8571428571428571;31.0;12.0;2.0;2.0
0.8571428571428571;2.0;1.0;4.0;2.0
0.8571428571428571;2.0;1.0;4.0;2.0
0.8571428571428571;5.0;1.0;5.0;2.0
1.0;5.0;1.0;5.0;2.0
0.8571428571428571;5.0;1.0;5.0;2.0
0.8571428571428571;6.0;1.0;6.0;2.0
0.8571428571428571;7.0;1.0;9.0;2.0
0.8571428571428571;8.0;1.0;10.0;2.0
0.8571428571428571;9.0;1.0;11.0;2.0
1.0;12.0;1.0;12.0;2.0
1.0;12.0;1.0;12.0;2.0
1.0;12.0;1.0;12.0;2.0
0.8571428571428571;13.0;1.0;13.0;2.0
0.8571428571428571;14.0;1.0;17.0;2.0
0.8571428571428571;15.0;1.0;18.0;2.0
0.8571428571428571;16.0;1.0;19.0;2.0
1.0;20.0;1.0;20.0;2.0
0.8571428571428571;20.0;1.0;20.0;2.0
0.8571428571428571;15.0;6.0;16.0;7.0
0.8571428571428571;23.0;11.0;24.0;12.0
0.8571428571428571;23.0;11.0;24.0;12.0
0.8571428571428571;30.0;11.0;31.0;12.0
0.8571428571428571;30.0;11.0;31.0;12.0
0.8571428571428571;15.0;12.0;19.0;1.0
0.8571428571428571;21.0;12.0;25.0;1.0
0.8571428571428571;21.0;12.0;25.0;1.0
0.8571428571428571;21.0;12.0;25.0;1.0
0.8571428571428571;30.0;12.0;2.0;2.0
0.8571428571428571;31.0;12.0;3.0;2.0
0.8571428571428571;2.0;1.0;5.0;2.0
0.8571428571428571;2.0;1.0;5.0;2.0
1.0;5.0;1.0;6.0;2.0
0.8571428571428571;7.0;1.0;10.0;2.0
0.8571428571428571;8.0;1.0;11.0;2.0
1.0;9.0;1.0;12.0;2.0
0.8571428571428571;12.0;1.0;13.0;2.0
1.0;12.0;1.0;13.0;2.0
1.0;12.0;1.0;13.0;2.0
0.8571428571428571;13.0;1.0;17.0;2.0
0.8571428571428571;14.0;1.0;18.0;2.0
0.8571428571428571;15.0;1.0;19.0;2.0
0.8571428571428571;20.0;1.0;23.0;2.0
1.0;20.0;1.0;23.0;2.0
0.8571428571428571;18.0;3.0;21.0;4.0
0.8571428571428571;23.0;11.0;28.0;12.0
0.8571428571428571;23.0;11.0;28.0;12.0
0.8571428571428571;30.0;11.0;4.0;1.0
0.8571428571428571;15.0;12.0;20.0;1.0
0.8571428571428571;16.0;12.0;21.0;1.0
0.8571428571428571;18.0;12.0;25.0;1.0
0.8571428571428571;28.0;12.0;1.0;2.0
0.8571428571428571;29.0;12.0;2.0;2.0
0.8571428571428571;30.0;12.0;3.0;2.0
0.8571428571428571;31.0;12.0;4.0;2.0
0.8571428571428571;2.0;1.0;6.0;2.0
0.8571428571428571;2.0;1.0;6.0;2.0
0.8571428571428571;5.0;1.0;9.0;2.0
0.8571428571428571;5.0;1.0;9.0;2.0
0.8571428571428571;6.0;1.0;10.0;2.0
0.8571428571428571;7.0;1.0;11.0;2.0
0.8571428571428571;8.0;1.0;12.0;2.0
0.8571428571428571;9.0;1.0;13.0;2.0
1.0;12.0;1.0;17.0;2.0
1.0;12.0;1.0;17.0;2.0
1.0;12.0;1.0;17.0;2.0
0.8571428571428571;13.0;1.0;18.0;2.0
0.8571428571428571;14.0;1.0;19.0;2.0
0.8571428571428571;15.0;1.0;20.0;2.0
0.8571428571428571;15.0;6.0;20.0;7.0
0.8571428571428571;14.0;12.0;20.0;1.0
0.8571428571428571;15.0;12.0;21.0;1.0
0.8571428571428571;16.0;12.0;22.0;1.0
0.8571428571428571;17.0;12.0;25.0;1.0
0.8571428571428571;28.0;12.0;2.0;2.0
0.8571428571428571;28.0;12.0;2.0;2.0
0.8571428571428571;5.0;1.0;10.0;2.0
0.8571428571428571;7.0;1.0;12.0;2.0
0.8571428571428571;8.0;1.0;13.0;2.0
1.0;9.0;1.0;17.0;2.0
1.0;12.0;1.0;18.0;2.0
1.0;12.0;1.0;18.0;2.0
1.0;12.0;1.0;18.0;2.0
0.8571428571428571;13.0;1.0;19.0;2.0
0.8571428571428571;20.0;1.0;25.0;2.0
0.8571428571428571;27.0;4.0;2.0;6.0
0.8571428571428571;15.0;6.0;21.0;7.0
0.8571428571428571;16.0;6.0;22.0;7.0
0.8571428571428571;17.0;6.0;23.0;7.0
0.8571428571428571;23.0;11.0;30.0;12.0
1.0;23.0;11.0;30.0;12.0
0.8571428571428571;23.0;11.0;30.0;12.0
0.8571428571428571;14.0;12.0;21.0;1.0
0.8571428571428571;15.0;12.0;22.0;1.0
0.8571428571428571;16.0;12.0;25.0;1.0
0.8571428571428571;21.0;12.0;28.0;1.0
0.8571428571428571;21.0;12.0;28.0;1.0
0.8571428571428571;21.0;12.0;28.0;1.0
0.8571428571428571;28.0;12.0;3.0;2.0
0.8571428571428571;2.0;1.0;10.0;2.0
0.8571428571428571;2.0;1.0;10.0;2.0
0.8571428571428571;7.0;1.0;13.0;2.0
0.8571428571428571;8.0;1.0;17.0;2.0
1.0;9.0;1.0;18.0;2.0
1.0;12.0;1.0;19.0;2.0
1.0;12.0;1.0;19.0;2.0
1.0;12.0;1.0;19.0;2.0
0.8571428571428571;13.0;1.0;20.0;2.0
0.8571428571428571;14.0;1.0;23.0;2.0
0.8571428571428571;15.0;1.0;24.0;2.0
0.8571428571428571;15.0;6.0;22.0;7.0
0.8571428571428571;15.0;6.0;22.0;7.0
0.8571428571428571;16.0;6.0;23.0;7.0
0.8571428571428571;17.0;6.0;24.0;7.0
0.8571428571428571;20.0;11.0;30.0;12.0
1.0;23.0;11.0;31.0;12.0
0.8571428571428571;23.0;11.0;31.0;12.0
0.8571428571428571;14.0;12.0;22.0;1.0
0.8571428571428571;14.0;12.0;22.0;1.0
0.8571428571428571;14.0;12.0;22.0;1.0
0.8571428571428571;15.0;12.0;25.0;1.0
0.8571428571428571;16.0;12.0;26.0;1.0
0.8571428571428571;18.0;12.0;28.0;1.0
0.8571428571428571;21.0;12.0;29.0;1.0
0.8571428571428571;21.0;12.0;29.0;1.0
0.8571428571428571;21.0;12.0;29.0;1.0
0.8571428571428571;22.0;12.0;1.0;2.0
0.8571428571428571;24.0;12.0;3.0;2.0
0.8571428571428571;28.0;12.0;4.0;2.0
0.8571428571428571;28.0;12.0;4.0;2.0
0.8571428571428571;7.0;1.0;17.0;2.0
0.8571428571428571;8.0;1.0;18.0;2.0
1.0;9.0;1.0;19.0;2.0
1.0;12.0;1.0;20.0;2.0
1.0;12.0;1.0;20.0;2.0
1.0;12.0;1.0;20.0;2.0
0.8571428571428571;13.0;1.0;23.0;2.0
0.8571428571428571;15.0;6.0;23.0;7.0
0.8571428571428571;20.0;11.0;31.0;12.0
0.8571428571428571;23.0;11.0;4.0;1.0
0.8571428571428571;23.0;11.0;4.0;1.0
0.8571428571428571;14.0;12.0;25.0;1.0
0.8571428571428571;14.0;12.0;25.0;1.0
0.8571428571428571;14.0;12.0;25.0;1.0
0.8571428571428571;15.0;12.0;26.0;1.0
0.8571428571428571;16.0;12.0;27.0;1.0
0.8571428571428571;17.0;12.0;28.0;1.0
0.8571428571428571;18.0;12.0;29.0;1.0
0.8571428571428571;21.0;12.0;1.0;2.0
0.8571428571428571;21.0;12.0;1.0;2.0
0.8571428571428571;21.0;12.0;1.0;2.0
0.8571428571428571;22.0;12.0;2.0;2.0
0.8571428571428571;8.0;1.0;19.0;2.0
0.8571428571428571;9.0;1.0;20.0;2.0
1.0;12.0;1.0;23.0;2.0
1.0;12.0;1.0;23.0;2.0
1.0;12.0;1.0;23.0;2.0
0.8571428571428571;15.0;6.0;24.0;7.0
0.8571428571428571;16.0;6.0;27.0;7.0
0.8571428571428571;17.0;6.0;28.0;7.0
1.0;20.0;11.0;4.0;1.0
0.8571428571428571;23.0;11.0;5.0;1.0
0.8571428571428571;23.0;11.0;5.0;1.0
0.8571428571428571;23.0;11.0;5.0;1.0
0.8571428571428571;14.0;12.0;26.0;1.0
0.8571428571428571;15.0;12.0;27.0;1.0
0.8571428571428571;16.0;12.0;28.0;1.0
0.8571428571428571;17.0;12.0;29.0;1.0
0.8571428571428571;18.0;12.0;1.0;2.0
